days,miles,receipts,output,predicted,error,capped_receipts_800,capped_receipts_1000,capped_receipts_1200,capped_receipts_1500,capped_receipts_2000,sqrt_receipts,log_receipts
3,93.0,1.42,364.51,243.05787396000002,121.45212603999997,1.42,1.42,1.42,1.42,1.42,1.1916375287812984,0.883767540168595
1,55.0,3.6,126.06,96.29759680000001,29.762403199999994,3.6,3.6,3.6,3.6,3.6,1.8973665961010275,1.5260563034950492
1,47.0,17.97,128.91,97.92514286,30.984857140000003,17.97,17.97,17.97,17.97,17.97,4.2391036788453285,2.9428587839469227
2,13.0,4.67,203.52,135.25238746,68.26761254000002,4.67,4.67,4.67,4.67,4.67,2.1610182784974308,1.7351891177396608
3,88.0,5.78,380.37,242.06004964000002,138.30995036,5.78,5.78,5.78,5.78,5.78,2.4041630560342617,1.9139771019523042
1,76.0,13.74,158.35,112.89461212,45.45538787999999,13.74,13.74,13.74,13.74,13.74,3.7067505985701277,2.6905648867611904
3,41.0,4.52,320.12,214.26051176,105.85948823999999,4.52,4.52,4.52,4.52,4.52,2.1260291625469296,1.7083778602890038
1,140.0,22.71,199.68,153.91243298,45.76756702,22.71,22.71,22.71,22.71,22.71,4.765501022977542,3.165896900077314
3,121.0,21.17,464.07,267.90374446000004,196.16625553999995,21.17,21.17,21.17,21.17,21.17,4.601086828130937,3.09874002362822
3,117.0,21.99,359.1,265.94213562000004,93.15786437999998,21.99,21.99,21.99,21.99,21.99,4.689349635077342,3.1350593387750902
2,202.0,21.24,356.17,252.05784712,104.11215288000002,21.24,21.24,21.24,21.24,21.24,4.608687448721165,3.1018924693823817
3,80.0,21.05,366.87,244.0800299,122.7899701,21.05,21.05,21.05,21.05,21.05,4.588027898781785,3.093312601892855
2,21.0,20.04,204.58,146.59261152,57.98738848000002,20.04,20.04,20.04,20.04,20.04,4.476605857119878,3.046425387869509
3,177.0,18.73,430.86,299.30805174000005,131.55194825999996,18.73,18.73,18.73,18.73,18.73,4.327817001676481,2.982140320034524
1,141.0,10.15,195.14,149.01558570000003,46.124414299999955,10.15,10.15,10.15,10.15,10.15,3.1859064644147983,2.411439497906128
1,58.0,5.86,117.24,99.02241268,18.217587319999993,5.86,5.86,5.86,5.86,5.86,2.420743687382041,1.925707441737794
1,133.0,8.34,179.06,143.58803692,35.471963079999995,8.34,8.34,8.34,8.34,8.34,2.8879058156387303,2.234306252240751
1,59.0,8.31,120.65,100.67049578000001,19.979504219999995,8.31,8.31,8.31,8.31,8.31,2.882707061079915,2.231089091288976
2,89.0,13.85,234.2,183.3192563,50.88074369999998,13.85,13.85,13.85,13.85,13.85,3.721558813185679,2.6979998652487085
2,147.0,17.43,325.56,218.50809234,107.05190766000001,17.43,17.43,17.43,17.43,17.43,4.174925149029621,2.9139797716817317
5,130.0,306.9,574.1,523.3898122,50.71018779999997,306.9,306.9,306.9,306.9,306.9,17.51856158478772,5.729775054930455
5,173.0,1337.9,1443.96,997.8759602,446.0840398,800.0,1000.0,1200.0,1337.9,1337.9,36.57731537442299,7.1996036603033335
5,592.0,433.75,869.0,846.5642124999999,22.43578750000006,433.75,433.75,433.75,433.75,433.75,20.82666559965853,6.074771153234392
5,679.0,476.08,1030.41,915.4634310399999,114.94656896000015,476.08,476.08,476.08,476.08,476.08,21.819257549238472,6.167684191710468
5,708.0,1129.52,1654.62,1217.20201176,437.4179882399999,800.0,1000.0,1129.52,1129.52,1129.52,33.608332300190085,7.030432982848577
5,261.0,464.94,621.12,668.25374772,47.133747719999974,464.94,464.94,464.94,464.94,464.94,21.56246739127969,6.144056870471156
5,794.0,511.0,1139.94,997.365728,142.57427200000006,511.0,511.0,511.0,511.0,511.0,22.60530911091463,6.238324625039508
5,521.0,1448.55,1624.01,1247.8904849,376.11951509999994,800.0,1000.0,1200.0,1448.55,1448.55,38.059821334315274,7.279008442420112
5,595.0,863.93,1231.67,1035.87840934,195.7915906600001,800.0,863.93,863.93,863.93,863.93,29.39268616509896,6.762648578801795
5,811.0,952.39,1608.6,1199.68497082,408.9150291799999,800.0,952.39,952.39,952.39,952.39,30.8608165802527,6.860024053938709
5,477.0,704.42,1045.96,897.91076796,148.04923204,704.42,704.42,704.42,704.42,704.42,26.540911815534898,6.558793370107705
