days,miles,receipts,output,predicted,error,rounded_receipts_10,rounded_receipts_50,rounded_receipts_100,log_receipts,predicted_final,error_final
3,93.0,1.42,364.51,243.05787396000002,121.45212603999997,0.0,0.0,0.0,0.883767540168595,274.77761625214197,89.73238374785802
1,55.0,3.6,126.06,96.29759680000001,29.762403199999994,0.0,0.0,0.0,1.5260563034950492,255.1296768486102,129.0696768486102
1,47.0,17.97,128.91,97.92514286,30.984857140000003,20.0,0.0,0.0,2.9428587839469227,429.971493400953,301.06149340095305
2,13.0,4.67,203.52,135.25238746,68.26761254000002,0.0,0.0,0.0,1.7351891177396608,308.71720907480864,105.19720907480863
3,88.0,5.78,380.37,242.06004964000002,138.30995036,10.0,0.0,0.0,1.9139771019523042,402.21691233472325,21.846912334723243
1,76.0,13.74,158.35,112.89461212,45.45538787999999,10.0,0.0,0.0,2.6905648867611904,409.14140195820397,250.79140195820398
3,41.0,4.52,320.12,214.26051176,105.85948823999999,0.0,0.0,0.0,1.7083778602890038,358.84782329473677,38.727823294736766
1,140.0,22.71,199.68,153.91243298,45.76756702,20.0,0.0,0.0,3.165896900077314,492.7188647115372,293.0388647115372
3,121.0,21.17,464.07,267.90374446000004,196.16625553999995,20.0,0.0,0.0,3.09874002362822,563.2550775915812,99.1850775915812
3,117.0,21.99,359.1,265.94213562000004,93.15786437999998,20.0,0.0,0.0,3.1350593387750902,566.3189975625028,207.21899756250275
2,202.0,21.24,356.17,252.05784712,104.11215288000002,20.0,0.0,0.0,3.1018924693823817,550.8863708778923,194.7163708778923
3,80.0,21.05,366.87,244.0800299,122.7899701,20.0,0.0,0.0,3.093312601892855,547.2528398274547,180.38283982745475
2,21.0,20.04,204.58,146.59261152,57.98738848000002,20.0,0.0,0.0,3.046425387869509,476.28771517497194,271.7077151749719
3,177.0,18.73,430.86,299.30805174000005,131.55194825999996,20.0,0.0,0.0,2.982140320034524,569.5462146692678,138.68621466926777
1,141.0,10.15,195.14,149.01558570000003,46.124414299999955,10.0,0.0,0.0,2.411439497906128,398.39612490326516,203.25612490326517
1,58.0,5.86,117.24,99.02241268,18.217587319999993,10.0,0.0,0.0,1.925707441737794,306.41331090696366,189.17331090696365
